example_id                                                  | status | run_time        |
./spec/integration/transaction_spec.rb[1:11:1]              | passed | 0.00053 seconds |
./spec/integration/transaction_spec.rb[1:11:2]              | passed | 0.00047 seconds |
./spec/integration/transaction_spec.rb[1:12:1]              | passed | 0.00065 seconds |
./spec/integration/transaction_spec.rb[1:12:2]              | passed | 0.00062 seconds |
./spec/integration/transaction_spec.rb[1:12:3]              | passed | 0.00066 seconds |
./spec/integration/transaction_spec.rb[1:12:4]              | passed | 0.00063 seconds |
./spec/integration/transaction_spec.rb[1:12:5]              | passed | 0.0006 seconds  |
./spec/integration/transaction_spec.rb[1:12:6]              | passed | 0.00063 seconds |
./spec/integration/transaction_spec.rb[1:13:1]              | passed | 0.00076 seconds |
./spec/integration/transaction_spec.rb[1:13:2]              | passed | 0.0007 seconds  |
./spec/integration/transaction_spec.rb[1:13:3]              | passed | 0.00198 seconds |
./spec/integration/transaction_spec.rb[1:13:4]              | passed | 0.00065 seconds |
./spec/integration/transaction_spec.rb[1:13:5]              | passed | 0.00068 seconds |
./spec/integration/transaction_spec.rb[1:14:1]              | passed | 0.00055 seconds |
./spec/integration/transaction_spec.rb[1:15:1]              | passed | 0.00042 seconds |
./spec/integration/transaction_spec.rb[1:16:1:1:1]          | passed | 0.0004 seconds  |
./spec/integration/transaction_spec.rb[1:16:2:1:1]          | passed | 0.00037 seconds |
./spec/integration/transaction_spec.rb[1:16:2:2:1]          | passed | 0.00042 seconds |
./spec/integration/transaction_without_steps_spec.rb[1:1:1] | passed | 0.00066 seconds |
./spec/integration/transaction_without_steps_spec.rb[1:1:2] | passed | 0.0007 seconds  |
./spec/integration/transaction_without_steps_spec.rb[1:1:3] | passed | 0.00072 seconds |
./spec/integration/transaction_without_steps_spec.rb[1:1:4] | passed | 0.00064 seconds |
./spec/integration/transaction_without_steps_spec.rb[1:2:1] | passed | 0.0008 seconds  |
./spec/integration/transaction_without_steps_spec.rb[1:3:1] | passed | 0.00071 seconds |
./spec/unit/step_adapters/around_spec.rb[1:1:1:1]           | passed | 0.0016 seconds  |
./spec/unit/step_adapters/around_spec.rb[1:1:2:1]           | passed | 0.00092 seconds |
./spec/unit/step_adapters/around_spec.rb[1:1:3:1]           | passed | 0.00011 seconds |
./spec/unit/step_adapters/check_spec.rb[1:1:1]              | passed | 0.00012 seconds |
./spec/unit/step_adapters/check_spec.rb[1:1:2:1]            | passed | 0.00012 seconds |
./spec/unit/step_adapters/check_spec.rb[1:1:3:1]            | passed | 0.00009 seconds |
./spec/unit/step_adapters/check_spec.rb[1:1:4:1]            | passed | 0.00009 seconds |
./spec/unit/step_adapters/map_spec.rb[1:1:1]                | passed | 0.00009 seconds |
./spec/unit/step_adapters/raw_spec.rb[1:1:1:1]              | passed | 0.00014 seconds |
./spec/unit/step_adapters/raw_spec.rb[1:1:2:1]              | passed | 0.00009 seconds |
./spec/unit/step_adapters/tee_spec.rb[1:1:1]                | passed | 0.00012 seconds |
./spec/unit/step_adapters/try_spec.rb[1:1:1:1]              | passed | 0.00016 seconds |
./spec/unit/step_adapters/try_spec.rb[1:1:2:1:1]            | passed | 0.00013 seconds |
./spec/unit/step_adapters/try_spec.rb[1:1:2:1:2]            | passed | 0.00016 seconds |
./spec/unit/step_adapters/try_spec.rb[1:1:2:1:3:1]          | passed | 0.00017 seconds |
./spec/unit/step_adapters/try_spec.rb[1:1:2:1:3:2]          | passed | 0.00012 seconds |
./spec/unit/step_adapters/try_spec.rb[1:1:2:2:1]            | passed | 0.00012 seconds |
./spec/unit/step_adapters/try_spec.rb[1:1:2:2:2:1]          | passed | 0.00012 seconds |
./spec/unit/step_spec.rb[1:1:1:1]                           | passed | 0.00225 seconds |
./spec/unit/step_spec.rb[1:1:1:2]                           | passed | 0.00071 seconds |
./spec/unit/step_spec.rb[1:1:2:1]                           | passed | 0.01719 seconds |
./spec/unit/step_spec.rb[1:1:3:1]                           | passed | 0.00026 seconds |
./spec/unit/step_spec.rb[1:1:3:2]                           | passed | 0.00306 seconds |
./spec/unit/step_spec.rb[1:1:3:3]                           | passed | 0.00057 seconds |
./spec/unit/step_spec.rb[1:2:1:1]                           | passed | 0.00014 seconds |
./spec/unit/step_spec.rb[1:2:2:1]                           | passed | 0.00014 seconds |
./spec/unit/step_spec.rb[1:2:3:1]                           | passed | 0.00013 seconds |
./spec/unit/step_spec.rb[1:3:1:1]                           | passed | 0.00014 seconds |
./spec/unit/step_spec.rb[1:3:2:1]                           | passed | 0.00013 seconds |
